;FECHA;CONCEPTO; VALOR  ;Proveedor;Observación
;martes, 4 de marzo de 2025;Compras; $ 204,00 ;S&J Global Trading;
;martes, 4 de marzo de 2025;Compras; $ 52,00 ;Grubmarket - General;
;martes, 4 de marzo de 2025;Compras; $ 869,00 ;Grubmarket - General;
;lunes, 3 de marzo de 2025;Compras; $ 53,00 ;;Lechuga no tiene factura
;lunes, 3 de marzo de 2025;Compras; $ 100,00 ;La Tortillera;
;lunes, 3 de marzo de 2025;Compras; $ 773,00 ;Grubmarket - General;
;lunes, 3 de marzo de 2025;Compras; $ 79,00 ;Grubmarket - General;
;lunes, 3 de marzo de 2025;Compras; $ 133,00 ;S&J Global Trading;
;sábado, 1 de marzo de 2025;Compras; $ 114,23 ;Wholesale Co;
;sábado, 1 de marzo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;sábado, 1 de marzo de 2025;Compras; $ 222,00 ;S&J Global Trading;
;sábado, 1 de marzo de 2025;Compras; $ 194,00 ;Grubmarket - General;
;sábado, 1 de marzo de 2025;Compras; $ 547,00 ;Grubmarket - General;
;sábado, 1 de marzo de 2025;Compras; $ 72,00 ;Grubmarket - General;
;sábado, 1 de marzo de 2025;Compras; $ 192,25 ;Wholesale Co;
;miércoles, 30 de abril de 2025;Compras; $ 112,00 ;Circus Fruit;
;miércoles, 30 de abril de 2025;Compras; $ 70,00 ;BP;
;miércoles, 30 de abril de 2025;Compras; $ 406,00 ;Circus Fruit;
;miércoles, 30 de abril de 2025;Compras; $ 900,50 ;Grubmarket - General;
;miércoles, 30 de abril de 2025;Compras; $ 1.252,50 ;KHL Flavors;
;miércoles, 30 de abril de 2025;Compras; $ 437,00 ;AL&C ;
;martes, 29 de abril de 2025;Compras; $ 511,00 ;Grubmarket - General;
;martes, 29 de abril de 2025;Compras; $ 35,00 ;Grubmarket - General;
;martes, 29 de abril de 2025;Compras; $ 36,00 ;S&J Global Trading;
;martes, 29 de abril de 2025;Compras; $ 646,00 ;P&A Produce LLC;
;martes, 29 de abril de 2025;Compras; $ 269,28 ;Tropical Cheese;
;domingo, 27 de abril de 2025;Compras; $ 125,65 ;Walmart;
;jueves, 3 de abril de 2025;Compras; $ 65,92 ; jetro  cash;
;lunes, 28 de abril de 2025;Compras; $ 69,00 ;Mr. Spong;
;lunes, 28 de abril de 2025;Compras; $ 346,00 ;P&A Produce LLC;
;lunes, 28 de abril de 2025;Compras; $ 40,00 ;Grubmarket - General;
;lunes, 28 de abril de 2025;Compras; $ 382,00 ;Grubmarket - General;
;sábado, 26 de abril de 2025;Compras; $ 125,00 ;;Factura sin Proveedor
;sábado, 26 de abril de 2025;Compras; $ 759,00 ;P&A Produce LLC;
;sábado, 26 de abril de 2025;Compras; $ 444,00 ;Grubmarket - General;
;sábado, 26 de abril de 2025;Compras; $ 44,00 ;P&A Produce LLC;
;viernes, 25 de abril de 2025;Compras; $ 57,96 ;Wholesale Co;
;viernes, 25 de abril de 2025;Compras; $ 30,00 ;ICE;
;viernes, 25 de abril de 2025;Compras; $ 286,00 ;Grubmarket - General;
;viernes, 25 de abril de 2025;Compras; $ 219,00 ;S&J Global Trading;
;viernes, 25 de abril de 2025;Compras; $ 205,00 ;INP Food;
;sábado, 5 de abril de 2025;Compras; $ 180,09 ;Jetro cash;
;jueves, 24 de abril de 2025;Compras; $ 608,73 ;Distribuidora Quisqueya;
;jueves, 24 de abril de 2025;Compras; $ 168,00 ;Circus Fruit;
;jueves, 24 de abril de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;jueves, 24 de abril de 2025;Compras; $ 577,00 ;P&A Produce LLC;
;jueves, 24 de abril de 2025;Compras; $ 842,00 ;Grubmarket - General;
;jueves, 24 de abril de 2025;Compras; $ 225,62 ;Tropical Cheese;
;martes, 22 de abril de 2025;Compras; $ 1.363,00 ;Grubmarket - General;
;martes, 22 de abril de 2025;Compras; $ 425,50 ;P&A Produce LLC;
;lunes, 21 de abril de 2025;Compras; $ 1,35 ;Staples;
;lunes, 7 de abril de 2025;Compras; $ 397,28 ;Jetro;
;lunes, 21 de abril de 2025;Compras; $ 40,00 ;P&A Produce LLC;
;lunes, 21 de abril de 2025;Compras; $ 413,00 ;P&A Produce LLC;
;viernes, 18 de abril de 2025;Compras; $ 176,00 ;Circus Fruit;
;viernes, 18 de abril de 2025;Compras; $ 402,00 ;S&J Global Trading;
;viernes, 18 de abril de 2025;Compras; $ 379,50 ;P&A Produce LLC;
;viernes, 18 de abril de 2025;Compras; $ 245,58 ;Del Caribe Meat;
;viernes, 18 de abril de 2025;Compras; $ 661,00 ;Grubmarket - General;
;jueves, 17 de abril de 2025;Compras; $ 1.094,37 ;Wholesale Co;
;viernes, 11 de abril de 2025;Compras; $ 419,17 ;Jetro;
;jueves, 17 de abril de 2025;Compras; $ 1.143,99 ;Wholesale ;
;jueves, 17 de abril de 2025;Compras; $ 573,00 ;Grubmarket - General;
;jueves, 17 de abril de 2025;Compras; $ 48,00 ;ELA Superior Produce ;
;miércoles, 16 de abril de 2025;Compras; $ 452,20 ;Jetro cash;
;miércoles, 16 de abril de 2025;Compras; $ 293,23 ;Goya;
;miércoles, 16 de abril de 2025;Compras; $ 195,78 ;Goya;
;miércoles, 16 de abril de 2025;Compras; $ 98,00 ;P&A Produce LLC;
;martes, 15 de abril de 2025;Compras; $ 70,00 ;BP;
;martes, 15 de abril de 2025;Compras; $ 165,62 ;Goya;
;martes, 15 de abril de 2025;Compras; $ 303,38 ;Goya;
;martes, 15 de abril de 2025;Compras; $ 242,00 ;S&J Global Trading;
;martes, 15 de abril de 2025;Compras; $ 52,00 ;P&A Produce LLC;
;martes, 15 de abril de 2025;Compras; $ 793,00 ;Grubmarket - General;
;martes, 15 de abril de 2025;Compras; $ 200,00 ;Grubmarket - General;
;martes, 15 de abril de 2025;Compras; $ 496,00 ;P&A Produce LLC;
;martes, 15 de abril de 2025;Compras; $ 222,00 ;F&H Dairies;Diferencia $111 con el real de la factura
;martes, 15 de abril de 2025;Compras; $ 406,02 ;Tropical Cheese;
;martes, 15 de abril de 2025;Compras; $ 968,00 ;Distribuidora Quisqueya;
;martes, 15 de abril de 2025;Compras; $ 476,00 ;Reach ALL;
;lunes, 14 de abril de 2025;Compras; $ 50,00 ;La Tortillera;
;lunes, 14 de abril de 2025;Compras; $ 590,50 ;Grubmarket - General;
;lunes, 14 de abril de 2025;Compras; $ 409,00 ;P&A Produce LLC;
;sábado, 12 de abril de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;sábado, 12 de abril de 2025;Compras; $ 417,00 ;P&A Produce LLC;
;sábado, 12 de abril de 2025;Compras; $ 855,00 ;Grubmarket - General;
;sábado, 12 de abril de 2025;Compras; $ 190,00 ;S&J Global Trading;
;jueves, 17 de abril de 2025;Compras; $ 2.258,91 ;Jetro revisada;Revisar con Orlando
;sábado, 19 de abril de 2025;Compras; $ 327,33 ;Jetro     fact  añadida despues;
;viernes, 11 de abril de 2025;Compras; $ 318,00 ;Grubmarket - General;
;viernes, 11 de abril de 2025;Compras; $ 489,00 ;P&A Produce LLC;
;viernes, 11 de abril de 2025;Compras; $ 342,00 ;Distribuidora Quisqueya;
;jueves, 10 de abril de 2025;Compras; $ 255,00 ;;Limon no tiene proveedor
;jueves, 10 de abril de 2025;Compras; $ 114,00 ;F&H Dairies;
;jueves, 10 de abril de 2025;Compras; $ 100,00 ;S&J Global Trading;
;jueves, 10 de abril de 2025;Compras; $ 588,50 ;Grubmarket - General;
;jueves, 10 de abril de 2025;Compras; $ 448,00 ;P&A Produce LLC;
;jueves, 10 de abril de 2025;Compras; $ 72,00 ;Mega Bag;
;jueves, 10 de abril de 2025;Compras; $ 388,94 ;Tropical Cheese;
;martes, 8 de abril de 2025;Compras; $ 27,00 ;Mr. Spong;
;martes, 8 de abril de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;martes, 8 de abril de 2025;Compras; $ 908,00 ;Grubmarket - General;
;martes, 8 de abril de 2025;Compras; $ 561,00 ;Grubmarket - General;
;martes, 8 de abril de 2025;Compras; $ 234,00 ;S&J Global Trading;
;martes, 8 de abril de 2025;Compras; $ 774,50 ;P&A Produce LLC;
;lunes, 21 de abril de 2025;Compras; $ 613,00 ;Jetro;
;lunes, 7 de abril de 2025;Compras; $ 136,00 ;Veloz Foods Distributors;
;jueves, 24 de abril de 2025;Compras; $ 383,83 ;Jetro;
;sábado, 5 de abril de 2025;Compras; $ 128,00 ;Grubmarket - General;
;sábado, 5 de abril de 2025;Compras; $ 60,00 ;S&J Global Trading;
;sábado, 5 de abril de 2025;Compras; $ 541,00 ;Grubmarket - General;
;sábado, 5 de abril de 2025;Compras; $ 31,00 ;P&A Produce LLC;
;sábado, 5 de abril de 2025;Compras; $ 1.030,00 ;P&A Produce LLC;
;sábado, 5 de abril de 2025;Compras; $ 72,00 ;Grubmarket - General;
;viernes, 4 de abril de 2025;Compras; $ 150,00 ;;Data Programming sin Proveedor
;viernes, 4 de abril de 2025;Compras; $ 172,08 ;Del Caribe Meat;
;viernes, 4 de abril de 2025;Compras; $ 602,06 ;Cibao Meat Products;
;viernes, 4 de abril de 2025;Compras; $ 499,00 ;Grubmarket - General;
;viernes, 4 de abril de 2025;Compras; $ 27,00 ;Grubmarket - General;
;lunes, 28 de abril de 2025;Compras; $ 242,72 ;Jetro;
;jueves, 3 de abril de 2025;Compras; $ 242,00 ;;Limon no tiene proveedor
;jueves, 3 de abril de 2025;Compras; $ 560,00 ;P&A Produce LLC;
;jueves, 3 de abril de 2025;Compras; $ 175,00 ;S&J Global Trading;
;jueves, 3 de abril de 2025;Compras; $ 639,00 ;Grubmarket - General;
;jueves, 3 de abril de 2025;Compras; $ 1.540,85 ;KHL Flavors;
;jueves, 3 de abril de 2025;Compras; $ 404,00 ;Distribuidora Quisqueya;
;miércoles, 2 de abril de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;miércoles, 2 de abril de 2025;Compras; $ 146,00 ;Grubmarket - General;
;miércoles, 2 de abril de 2025;Compras; $ 159,00 ;Reach ALL;
;miércoles, 2 de abril de 2025;Compras; $ 582,30 ;Family Food Distributors;
;martes, 1 de abril de 2025;Compras; $ 44,94 ;Walmart;
;martes, 1 de abril de 2025;Compras; $ 94,35 ;BJ'S;
;martes, 1 de abril de 2025;Compras; $ 665,68 ;Walmart;
;martes, 1 de abril de 2025;Compras; $ 150,00 ;La Tortillera;
;martes, 1 de abril de 2025;Compras; $ 246,00 ;S&J Global Trading;
;martes, 1 de abril de 2025;Compras; $ 672,00 ;Grubmarket - General;
;martes, 1 de abril de 2025;Compras; $ 68,00 ;Grubmarket - General;
;martes, 1 de abril de 2025;Compras; $ 690,50 ;P&A Produce LLC;
;jueves, 1 de mayo de 2025;Compras; $ 143,46 ;BJ'S;
;jueves, 1 de mayo de 2025;Compras; $ 899,00 ;Grubmarket - General;
;jueves, 1 de mayo de 2025;Compras; $ 881,20 ;Distribuidora Quisqueya;
;viernes, 2 de mayo de 2025;Compras; $ 564,12 ;Jetro;
;viernes, 2 de mayo de 2025;Compras; $ 505,00 ;Circus Fruit;
;viernes, 2 de mayo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;viernes, 2 de mayo de 2025;Compras; $ 693,00 ;Grubmarket - General;
;viernes, 2 de mayo de 2025;Compras; $ 35,00 ;S&J Global Trading;
;viernes, 2 de mayo de 2025;Compras; $ 73,00 ;S&J Global Trading;
;sábado, 3 de mayo de 2025;Compras; $ 621,00 ;P&A Produce LLC;
;sábado, 3 de mayo de 2025;Compras; $ 420,00 ;Grubmarket - General;
;lunes, 5 de mayo de 2025;Compras; $ 40,00 ;;Para lo dulce no tiene factura
;lunes, 5 de mayo de 2025;Compras; $ 555,00 ;P&A Produce LLC;
;lunes, 5 de mayo de 2025;Compras; $ 73,00 ;S&J Global Trading;
;lunes, 5 de mayo de 2025;Compras; $ 231,50 ;Grubmarket - General;
;lunes, 5 de mayo de 2025;Compras; $ 182,00 ;AL&C ;
;martes, 6 de mayo de 2025;Compras; $ 1.330,50 ;Circus Fruit;
;martes, 6 de mayo de 2025;Compras; $ 175,50 ;P&A Produce LLC;
;martes, 6 de mayo de 2025;Compras; $ 113,70 ;F&H Dairies;
;martes, 6 de mayo de 2025;Compras; $ 244,44 ;Tropical Cheese;
;jueves, 8 de mayo de 2025;Compras; $ 224,64 ;Jetro;
;jueves, 8 de mayo de 2025;Compras; $ 36,00 ;Mr. Spong;
;jueves, 8 de mayo de 2025;Compras; $ 566,00 ;Grubmarket - General;
;jueves, 8 de mayo de 2025;Compras; $ 583,00 ;P&A Produce LLC;
;jueves, 8 de mayo de 2025;Compras; $ 415,90 ;Distribuidora Quisqueya;
;viernes, 9 de mayo de 2025;Compras; $ 5,00 ;Circus Fruit;
;viernes, 9 de mayo de 2025;Compras; $ 276,00 ;Circus Fruit;
;viernes, 9 de mayo de 2025;Compras; $ 417,50 ;Grubmarket - General;
;viernes, 9 de mayo de 2025;Compras; $ 155,00 ;S&J Global Trading;
;viernes, 9 de mayo de 2025;Compras; $ 676,00 ;P&A Produce LLC;
;viernes, 9 de mayo de 2025;Compras; $ 42,00 ;Grubmarket - General;
;viernes, 9 de mayo de 2025;Compras; $ 72,00 ;Grubmarket - General;
;sábado, 10 de mayo de 2025;Compras; $ 638,71 ;Jetro;
;sábado, 10 de mayo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;sábado, 10 de mayo de 2025;Compras; $ 759,00 ;Grubmarket - General;
;sábado, 10 de mayo de 2025;Compras; $ 268,50 ;P&A Produce LLC;
;sábado, 10 de mayo de 2025;Compras; $ 42,00 ;Circus Fruit;
;lunes, 12 de mayo de 2025;Compras; $ 39,00 ;P&A Produce LLC;
;lunes, 12 de mayo de 2025;Compras; $ 264,00 ;P&A Produce LLC;
;lunes, 12 de mayo de 2025;Compras; $ 1.658,81 ;Goya;
;lunes, 12 de mayo de 2025;Compras; $ 192,18 ;Goya;
;martes, 13 de mayo de 2025;Compras; $ 343,18 ;Tropical Cheese;
;martes, 13 de mayo de 2025;Compras; $ 152,00 ;Grubmarket - General;
;martes, 13 de mayo de 2025;Compras; $ 824,00 ;P&A Produce LLC;
;miércoles, 14 de mayo de 2025;Compras; $ 55,00 ;La Tortillera;
;miércoles, 14 de mayo de 2025;Compras; $ 905,00 ;Grubmarket - General;
;miércoles, 14 de mayo de 2025;Compras; $ 135,00 ;S&J Global Trading;
;jueves, 15 de mayo de 2025;Compras; $ 94,14 ;Jetro;Cash
;jueves, 15 de mayo de 2025;Compras; $ 130,00 ;;Aguacate no tiene proveedor
;jueves, 15 de mayo de 2025;Compras; $ 449,50 ;P&A Produce LLC;
;jueves, 15 de mayo de 2025;Compras; $ 88,00 ;Grubmarket - General;
;jueves, 15 de mayo de 2025;Compras; $ 319,00 ;Grubmarket - General;
;jueves, 15 de mayo de 2025;Compras; $ 378,40 ;Distribuidora Quisqueya;
;viernes, 16 de mayo de 2025;Compras; $ 303,18 ;Jetro;  fact  añadida despues
;viernes, 16 de mayo de 2025;Compras; $ 289,89 ;Wholesale Co;
;viernes, 16 de mayo de 2025;Compras; $ 64,00 ;Safety First;
;viernes, 16 de mayo de 2025;Compras; $ 350,00 ;P&A Produce LLC;
;viernes, 16 de mayo de 2025;Compras; $ 545,00 ;Grubmarket - General;
;viernes, 16 de mayo de 2025;Compras; $ 401,48 ;Cibao Meat Products;
;sábado, 17 de mayo de 2025;Compras; $ 607,00 ;Circus Fruit;
;sábado, 17 de mayo de 2025;Compras; $ 110,00 ;;No tiene factura
;sábado, 17 de mayo de 2025;Compras; $ 115,80 ;BJ'S;
;sábado, 17 de mayo de 2025;Compras; $ 129,80 ;Primos Bakery Cors;
;sábado, 17 de mayo de 2025;Compras; $ 104,00 ;Grubmarket - General;
;sábado, 17 de mayo de 2025;Compras; $ 188,00 ;S&J Global Trading;
;sábado, 17 de mayo de 2025;Compras; $ 40,00 ;ELA Superior Produce ;
;lunes, 19 de mayo de 2025;Compras; $ 158,00 ;Circus Fruit;
;lunes, 19 de mayo de 2025;Compras; $ 40,00 ;;Dulce de coco no tiene factura
;lunes, 19 de mayo de 2025;Compras; $ 45,00 ;;Limon no tiene proveedor
;lunes, 19 de mayo de 2025;Compras; $ 581,00 ;Grubmarket - General;
;lunes, 19 de mayo de 2025;Compras; $ 72,00 ;P&A Produce LLC;
;lunes, 19 de mayo de 2025;Compras; $ 116,40 ;F&H Dairies;
;lunes, 19 de mayo de 2025;Compras; $ 318,00 ;P&A Produce LLC;
;lunes, 19 de mayo de 2025;Compras; $ 246,41 ;Cordialsa USA;
;martes, 20 de mayo de 2025;Compras; $ 300,00 ;Jetro;Se facturaron 1785 pero el credito solo desconto 300
;martes, 20 de mayo de 2025;Compras; $ 420,00 ;;Aguacate
;martes, 20 de mayo de 2025;Compras; $ 586,00 ;P&A Produce LLC;
;martes, 20 de mayo de 2025;Compras; $ 189,00 ;Grubmarket - General;
;miércoles, 21 de mayo de 2025;Compras; $ 294,50 ;Grubmarket - General;
;miércoles, 21 de mayo de 2025;Compras; $ 360,00 ;P&A Produce LLC;
;miércoles, 21 de mayo de 2025;Compras; $ 837,05 ;Family Food Distributors;
;jueves, 22 de mayo de 2025;Compras; $ 471,30 ;Distribuidora Quisqueya;
;jueves, 22 de mayo de 2025;Compras; $ 115,20 ;Cibao Meat Products;
;jueves, 22 de mayo de 2025;Compras; $ 403,96 ;Wholesale Co;
;jueves, 22 de mayo de 2025;Compras; $ 509,50 ;P&A Produce LLC;
;jueves, 22 de mayo de 2025;Compras; $ 416,00 ;Grubmarket - General;
;jueves, 22 de mayo de 2025;Compras; $ 136,00 ;S&J Global Trading;
;jueves, 22 de mayo de 2025;Compras; $ 58,00 ;P&A Produce LLC;
;jueves, 22 de mayo de 2025;Compras; $ 155,84 ;Jetro;
;jueves, 22 de mayo de 2025;Compras; $ 364,95 ;Jetro;
;viernes, 23 de mayo de 2025;Compras; $ 88,00 ;ELA Superior Produce ;
;viernes, 23 de mayo de 2025;Compras; $ 308,00 ;Mamitas ICES;
;viernes, 23 de mayo de 2025;Compras; $ 396,00 ;Grubmarket - General;
;viernes, 23 de mayo de 2025;Compras; $ 168,00 ;P&A Produce LLC;
;viernes, 23 de mayo de 2025;Compras; $ 369,38 ;Del Caribe Meat;
;viernes, 23 de mayo de 2025;Compras; $ 67,93 ;Jetro;
;viernes, 23 de mayo de 2025;Compras;-$ 25,99 ;Jetro;Devolucion 
;sábado, 24 de mayo de 2025;Compras; $ 526,00 ;Reach ALL;
;sábado, 24 de mayo de 2025;Compras; $ 234,00 ;S&J Global Trading;
;sábado, 24 de mayo de 2025;Compras; $ 46,00 ;P&A Produce LLC;
;sábado, 24 de mayo de 2025;Compras; $ 717,00 ;P&A Produce LLC;
;lunes, 26 de mayo de 2025;Compras; $ 374,00 ;Circus Fruit;
;lunes, 26 de mayo de 2025;Compras; $ 40,00 ;ELA Superior Produce ;
;lunes, 26 de mayo de 2025;Compras; $ 200,00 ;Grubmarket - General;
;lunes, 26 de mayo de 2025;Compras; $ 155,00 ;INP Food;
;martes, 27 de mayo de 2025;Compras; $ 168,39 ;BJ'S;
;martes, 27 de mayo de 2025;Compras; $ 28,00 ;Circus Fruit;
;martes, 27 de mayo de 2025;Compras; $ 320,00 ;;Aguacate no tiene factura
;martes, 27 de mayo de 2025;Compras; $ 615,00 ;P&A Produce LLC;
;martes, 27 de mayo de 2025;Compras; $ 198,00 ;S&J Global Trading;
;martes, 27 de mayo de 2025;Compras; $ 643,00 ;Grubmarket - General;
;martes, 27 de mayo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;martes, 27 de mayo de 2025;Compras; $ 145,00 ;ELA Superior Produce ;
;miércoles, 28 de mayo de 2025;Compras; $ 40,00 ;;Para lo dulce no tiene factura
;miércoles, 28 de mayo de 2025;Compras; $ 316,00 ;Reach ALL;
;miércoles, 28 de mayo de 2025;Compras; $ 97,00 ;Grubmarket - General;
;jueves, 29 de mayo de 2025;Compras; $ 129,00 ;;Magdalena - Factura no tiene proveedor
;jueves, 29 de mayo de 2025;Compras; $ 764,00 ;P&A Produce LLC;
;jueves, 29 de mayo de 2025;Compras; $ 102,00 ;F&H Dairies;
;jueves, 29 de mayo de 2025;Compras; $ 237,00 ;Grubmarket - General;
;jueves, 29 de mayo de 2025;Compras; $ 190,00 ;S&J Global Trading;
;jueves, 29 de mayo de 2025;Compras; $ 330,30 ;Tropical Cheese;
;jueves, 29 de mayo de 2025;Compras; $ 34,00 ;ELA Superior Produce ;
;jueves, 29 de mayo de 2025;Compras; $ 398,65 ;Distribuidora Quisqueya;
;viernes, 30 de mayo de 2025;Compras; $ 70,00 ;BP;
;viernes, 30 de mayo de 2025;Compras; $ 631,00 ;P&A Produce LLC;
;viernes, 30 de mayo de 2025;Compras; $ 46,65 ;F&H Dairies;
;viernes, 30 de mayo de 2025;Compras; $ 465,00 ;Grubmarket - General;
;viernes, 30 de mayo de 2025;Compras; $ 40,00 ;ELA Superior Produce ;
;sábado, 31 de mayo de 2025;Compras; $ 105,00 ;S&J Global Trading;
;sábado, 31 de mayo de 2025;Compras; $ 66,00 ;Grubmarket - General;
;sábado, 31 de mayo de 2025;Compras; $ 939,00 ;P&A Produce LLC;
;sábado, 31 de mayo de 2025;Compras; $ 38,00 ;P&A Produce LLC;
;martes, 3 de junio de 2025;Compras; $ 330,00 ;Mamitas ICES;
;martes, 3 de junio de 2025;Compras; $ 1.021,00 ;Grubmarket - General;
;martes, 3 de junio de 2025;Compras; $ 1.345,20 ;JETRO;
;martes, 3 de junio de 2025;Compras; $ 330,00 ;Mamitas ICES;
;martes, 3 de junio de 2025;Compras; $ 80,00 ;E.L.A.;
;martes, 3 de junio de 2025;Compras; $ 30,00 ;P&A Produce LLC;
;martes, 3 de junio de 2025;Compras; $ 52,00 ;Grubmarket - General;
;martes, 3 de junio de 2025;Compras; $ 80,00 ;E.L.A.;
;martes, 3 de junio de 2025;Compras; $ 244,00 ;S&J Global Trading;
;martes, 3 de junio de 2025;Compras; $ 281,10 ;Tropical Cheese;
;martes, 3 de junio de 2025;Compras; $ 244,00 ;S&J Global Trading;
;martes, 3 de junio de 2025;Compras; $ 38,00 ;Grubmarket - General;
;martes, 3 de junio de 2025;Compras; $ 592,00 ;P&A Produce LLC;
;martes, 3 de junio de 2025;Compras; $ 281,00 ;Tropical Cheese;Cheque
;jueves, 5 de junio de 2025;Compras; $ 1.345,00 ;Jetro;
;jueves, 5 de junio de 2025;Compras; $ 518,68 ;Jetro;
;jueves, 5 de junio de 2025;Compras; $ 48,00 ;Grubmarket - General;
;jueves, 5 de junio de 2025;Compras; $ 396,00 ;Grubmarket - General;
;jueves, 5 de junio de 2025;Compras; $ 382,00 ;Distribuidora Quisqueya;
;jueves, 5 de junio de 2025;Compras; $ 628,00 ;P&A Produce LLC;
;jueves, 5 de junio de 2025;Compras; $ 382,00 ;Distribuidora Quisqueya;
;viernes, 6 de junio de 2025;Compras; $ 40,00 ;Lydia Dulces;Sin Factura
;viernes, 6 de junio de 2025;Compras; $ 100,00 ;Watermelon;Sin Factura
;viernes, 6 de junio de 2025;Compras; $ 40,00 ;Dulce Diana;
;viernes, 6 de junio de 2025;Compras; $ 100,00 ;Watermelon;
;viernes, 6 de junio de 2025;Compras; $ 194,00 ;S&J Global Trading;
;viernes, 6 de junio de 2025;Compras; $ 180,00 ;F.H.Diaries;
;viernes, 6 de junio de 2025;Compras; $ 428,50 ;Grubmarket - General;
;viernes, 6 de junio de 2025;Compras; $ 584,00 ;P&A Produce LLC;
;viernes, 6 de junio de 2025;Compras; $ 180,00 ;F&H Dairies;
;viernes, 6 de junio de 2025;Compras; $ 194,00 ;S&J Global Trading;
;sábado, 7 de junio de 2025;Compras; $ 48,89 ;BJ'S;
;sábado, 7 de junio de 2025;Compras; $ 762,00 ;Circus Fruit;
;sábado, 7 de junio de 2025;Compras; $ 48,89 ;BJ'S;
;sábado, 7 de junio de 2025;Compras; $ 170,00 ;S&J Global Trading;
;sábado, 7 de junio de 2025;Compras; $ 762,00 ;Circus Fruit;
;sábado, 7 de junio de 2025;Compras; $ 170,00 ;S&J Global Trading;
;sábado, 7 de junio de 2025;Compras; $ 159,00 ;P&A Produce LLC;
;sábado, 7 de junio de 2025;Compras; $ 267,00 ;Grubmarket - General;
;lunes, 9 de junio de 2025;Compras; $ 430,00 ;Circus Fruit;
;lunes, 9 de junio de 2025;Compras; $ 83,00 ;INP Food;
;lunes, 9 de junio de 2025;Compras; $ 165,00 ;La Tortillera;
;lunes, 9 de junio de 2025;Compras; $ 12,00 ;P&A Produce LLC;
;lunes, 9 de junio de 2025;Compras; $ 430,00 ;Circus Fruit;
;lunes, 9 de junio de 2025;Compras; $ 165,00 ;La Tortillera;
;lunes, 9 de junio de 2025;Compras; $ 83,00 ;INP Food;
;lunes, 9 de junio de 2025;Compras; $ 143,00 ;P&A Produce LLC;
;lunes, 9 de junio de 2025;Compras; $ 196,00 ;Grubmarket - General;
;miércoles, 11 de junio de 2025;Compras; $ 300,00 ;Mamitas ICES;
;martes, 10 de junio de 2025;Compras; $ 345,00 ;Circus Fruit;
;martes, 10 de junio de 2025;Compras; $ 31,00 ;Lydia Dulces;
;martes, 10 de junio de 2025;Compras; $ 136,00 ;E.L.A.;
;martes, 10 de junio de 2025;Compras; $ 398,00 ;S&J Global Trading;
;martes, 10 de junio de 2025;Compras; $ 754,00 ;Grubmarket - General;
;martes, 10 de junio de 2025;Compras; $ 345,00 ;Circus Fruit;
;martes, 10 de junio de 2025;Compras; $ 136,00 ;E.L.A.;
;martes, 10 de junio de 2025;Compras; $ 398,00 ;S&J Global Trading;
;martes, 10 de junio de 2025;Compras; $ 646,00 ;P&A Produce LLC;
;viernes, 13 de junio de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;miércoles, 11 de junio de 2025;Compras; $ 345,00 ;Grubmarket - General;
;miércoles, 11 de junio de 2025;Compras; $ 300,00 ;Mamitas ICES;
;miércoles, 11 de junio de 2025;Compras; $ 1.521,00 ;K.H.L FLAVORS;
;viernes, 13 de junio de 2025;Compras; $ 335,38 ;Distribuidora Quisqueya;
;viernes, 13 de junio de 2025;Compras; $ 526,46 ;Cibao Meat Products;
;jueves, 12 de junio de 2025;Compras; $ 407,00 ;P&A Produce LLC;
;jueves, 12 de junio de 2025;Compras; $ 203,94 ;Tropical Cheese;
;jueves, 12 de junio de 2025;Compras; $ 115,80 ;BJ'S;
;jueves, 12 de junio de 2025;Compras; $ 556,12 ;AAA;
;jueves, 12 de junio de 2025;Compras; $ 1.693,84 ;JETRO;
;jueves, 12 de junio de 2025;Compras; $ 437,00 ;Grubmarket - General;
;jueves, 12 de junio de 2025;Compras; $ 52,00 ;P&A Produce LLC;
;viernes, 13 de junio de 2025;Compras; $ 104,00 ;Grubmarket - General;
;viernes, 13 de junio de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;viernes, 13 de junio de 2025;Compras; $ 335,38 ;Distribuidora Quisqueya;
;viernes, 13 de junio de 2025;Compras; $ 526,46 ;Cibao Meat Products;
;viernes, 13 de junio de 2025;Compras; $ 784,00 ;P&A Produce LLC;
;viernes, 13 de junio de 2025;Compras; $ 140,00 ;P&A Produce LLC;
;jueves, 12 de junio de 2025;Compras; $ 203,94 ;Tropical Cheese;
;sábado, 14 de junio de 2025;Compras; $ 1.025,00 ;P&A Produce LLC;
;sábado, 14 de junio de 2025;Compras; $ 40,00 ;S&J Global Trading;
;sábado, 14 de junio de 2025;Compras; $ 369,00 ;Grubmarket - General;
;sábado, 14 de junio de 2025;Compras; $ 78,00 ;P&A Produce LLC;
;sábado, 14 de junio de 2025;Compras; $ 40,00 ;S&J Global Trading;
