"UPC","Item","Department","Quantity on Hand","Total Cost"
"024286154653","DLC ACEITE DE EUCALIPTO 2 fl. oz.","Vitamins/Medicine","2",""
"024286191009","aloe vera cream","Vitamins/Medicine","4",""
"024300808388","Honey bun","Snacks","0",""
"024300865411","Little Debbie Iced Honey Bun","Snacks","0",""
"024600010511","Morton Salt","General Food","24",""
"024600010535","Morton Iodized Salt","General Food","-1",""
"024600011945","Himalayan pink sal","General Food","0",""
"024600017022","Morton Coarse Kosher Salt","General Food","8",""
"025000019708","Minute Maid Premium Strawberry Lemonade","Drinks","5",""
"025000044984","LEMONADE","Drinks","-9",""
"025000047695","Minute Maid Premium:Tropical Punch","Drinks","0",""
"025000047725","Minute Maid Premium Fruit Punch","Drinks","3",""
"025000048111","Minute Maid:Watermelon","Drinks","4",""
"025000058868","Minute Maid Pink Lemonade","Drinks","-6",""
"025293001497","silk almond 30 cal","Dairy","0",""
"025700003885","Ziploc Freezer Bag (Set of 20)","Household","6",""
"025700011323","Ziploc:2 Gallon - Heavy Duty","Misc.","0",""
"026700159916","Coconut oil","General Food","2",""
"027000311431","Parkay Whipped Vegetable Oil","Dairy","1",""
"027000388112","Hunt's:Tomato Paste","General Food","17",""
"027000388150","Hunt's Tomato Paste","General Food","14",""
"027000388273","Hunt's:Tomato Paste","General Food","12",""
"027000389843","Hunt's Tomamto Paste","General Food","14",""
"027000390146","Hunt's :Tomato Sauce","General Food","32",""
"027000390238","Hunt's:Tomatoes Sauce","General Food","0",""
"027000690611","Wesson Pure 100% Natural","General Food","0",""
"027246101001","Jamaican Choice Coconut Milk","Produce","13",""
"027568009009","Tropical:100% Natural Cheese, Longhorn Style Cheddar Cheese","Dairy","0",""
"027568009306","Tropical:100% Natural Cheese, Sharp Cheddar","Dairy","14",""
"027568010357","Tropical Queso blanco","Deli","6",""
"027568010500","Tropical Imitation Pasteurized American Cheese Slices","Deli","19",""
"027568011354","Queso defreir","Dairy","0",""
"027568018049","Tropical Fresh White Cheese","Dairy","9",""
"027568018070","Tropical Fresh White For Frying Cheese","Dairy","10",""
"027568019107","Tropical Queso de Freir Dominicano","Dairy","6",""
"027568020073","Tropical Queso Blanco","Dairy","11",""
"027568021070","Tropical Queso De Freir","Dairy","20",""
"027568025726","TROP QUESO FRSC CNTR","Dairy","7",""
"027568028253","TROP QUESCO FRESCO","Dairy","5",""
"027568032144","Tropical Grated Cotija","Dairy","5",""
"027568033424","Tropicana Tropical Passion Fruit Drinkable Yogurt","Drinks","-1",""
"027568034957","Tropical Mozzarella Sliced Cheese","General Food","9",""
"027568035077","Tropical queso de papa blanco","Dairy","8",""
"027568038221","TROPICAL string cheese","Dairy","0",""
"027568038405","Tropical Mozzarella Cheese","Dairy","12",""
"027568038627","Cheese","Dairy","12",""
"027568040507","Tropical Mozzarella Cheese","Dairy","11",""
"027568051954","Tropical Crema Centroamericana","Deli","18",""
"027568060277","Tropical Chorizo Columbiano","General Food","10",""
"027568060284","TROPICAL CHORIZO MEXICANO","Deli","9",""
"027568060345","La Fe Tropical Salami","General Food","11",""
"027568061205","Cooked Ham","Produce","6",""
"027568070405","Tropical vacalao","General Food","37",""
"027568095286","Tropica'","General Food","13","$45.37"
"027568095453","Tropical Flour Tortillas Burrito Size","Deli","14",""
"027568095859","Tortillas burritos","General Food","12",""
"027800073577","Sugar wafer strawberry","Snacks","1",""
"028000105112","Maggi","General Food","5",""
"028000157852","Nestle Abuelita:Authentic Mexican","General Food","4",""
"028000231750","Nesquik","Drinks","6",""
"028000244606","Nestle Nesquik Strawberry","General Food","5",""
"028000245009","Nestle Nesquik Chocolate","General Food","2",""
"028000276393","Nesquik Protein Chocolate","Drinks","0",""
"028000332846","Maggi","General Food","26",""
"028000395360","Maggi","General Food","19",""
"028000453879","Nesquik strawberry","General Food","6",""
"028000462987","Nescafe:Clasico Pure","General Food","3",""
"028000466312","Nescafe:Original","General Food","1",""
"028000467012","Nescafe Clasico","General Food","4",""
"028000469429","Nescafe Clasico Pure","General Food","3",""
"028000511159","Beef Flavor Granulated Bouillon","General Food","9",""
"028000515751","Nestle Nesquik Strawberry Low Fat Milk","Drinks","2",""
"028000517205","Nestle Media Crema","General Food","16",""
"028000517809","La Lechera:Sweetened Condensed Milk","General Food","0",""
"028000518868","La Lechera:Dulce De Leche","General Food","4",""
"028000537838","Nesquik","General Food","-3",""
"028000542313","Nescafe:Decaf","General Food","5",""
"028000658755","Maggi","General Food","3",""
"028000659615","Magi","General Food","41","$12.39"
"028000703196","Maggi:Chicken Flavor","General Food","8",""
"028000803193","Maggi:Chicken Flavor","General Food","2",""
"028000878153","P arroz","General Food","0",""
"028000888947","Sopa casera vegetales","General Food","14",""
"028000896256","Nestle Nesquik Vanilla Low Fat Milk","Drinks","6",""
"028000956233","Maggie res con fideos","General Food","19",""
"028400002561","Cheetos:Puffs","Snacks","30",""
"028400003001","Lay's:Barbecue","Snacks","4",""
"028400003919","Lay's:Salt & Vinegar","Snacks","2",""
"028400008617","Lay's:Barbecue","Snacks","50",""
"028400014236","Smartfood:White Cheddar","Candy","46",""
"028400021203","Ruffles queso","Snacks","17",""
"028400040112","Cheetos Crunchy:Cheese Flavored Snacks","Snacks","31",""
"028400048026","Sun Chips:Garden Salsa","Snacks","4",""
"028400069298","Doritos:Spicy Sweet Chili","Snacks","47",""
"028400085298","Cracker Jack Popcorn & Peanuts Caramel Coated","Snacks","11",""
"028400090094","Lay's:Salt & Vinegar","Snacks","48",""
"028400090179","Ruffles:Cheddar & Sour Cream","Snacks","42",""
"028400090858","Lays Classic Potato Chips","Snacks","40",""
"028400090896","Doritos:Nacho Cheese","Snacks","27",""
"028400091510","Doritos Cool Ranch:Tortilla Chips","General Food","49",""
"028400091565","Lay's:Classic","Snacks","1",""
"028400239080","Lay's Wavy","Snacks","-1",""
"028400260343","Grandma's","Snacks","4",""
"029000016088","Planters:Halves & Pieces Lightly Salted","Produce","5","$49.45"
"029000016651","Planters:Mixed","Snacks","3","$26.67"
"029000017931","Planters:Salted Peanuts","General Food","-7",""
"029000017948","Planters Honey Roasted Peanuts","General Food","9",""
"029000017955","Planters Salted Cashews","Snacks","7",""
"029000072121","Planters:Cocktail","General Food","2",""
"029200001365","Cocoa sobrino","General Food","2",""
"030000010204","Quaker Oats 100% Whole Grain - Old Fashioned","General Food","11",""
"030000011805","Quaker Oats 100% Whole Grain - Quick 1 Minute","General Food","8",""
"030000650707","Pearl original","General Food","0",""
"030000652909","Pearl milling company original complete","General Food","3",""
"030000653005","Pearl Milling Butter milk pancake mix","General Food","2",""
"030000655504","Pearl milling company","General Food","2",""
"030000659700","Syrup","General Food","5",""
"030100100553","Town House Original Crackers","Snacks","5",""
"030100100577","Keebler Club Original Crackers","Snacks","1",""
"030100129776","Club sweet haway","Snacks","5",""
"030772037089","Crest","Hygiene","1",""
"030772107287","Mr.clean lavander","Cleaning","6",""
"030772191477","Buonty","Hygiene","3",""
"030772191484","Bounty","Cleaning","10",""
"031146150601","Nong Shim:Gourmet Spicy","General Food","3",""
"031146250103","Nong Shim:Hot & Spicy","General Food","11",""
"031146262571","Nong Shim:Spicy Chicken","General Food","7",""
"031200009906","Ocean Spray Cranberry Juice","Drinks","-18",""
